Year	Month	Precip	PET-Thornwaite	PET_Hargreaves
1998	3	75.903443587	29.931447467363	104.669221474401
1998	4	2.630328644	62.0628508032851	152.59039742374
1998	5	70.3698839	152.582432484576	210.681430742853
1998	6	46.489751271	188.883361417051	207.205092285994
1998	7	49.1267218	214.20802955222	211.587706559757
1998	8	61.08396434	164.892201884646	172.401135329623
1998	9	37.2037045	135.447618952954	148.37119854836
1998	10	47.396402	75.4929402656726	99.5940627384214
1998	11	60.323067742	33.086711609546	65.1817824426777
1998	12	23.64129596	10.2359658763322	51.7249205255114
1999	1	26.7127087	15.0043251595423	65.0089652242524
1999	2	0.71754248	27.7688124987387	85.5635149988557
1999	3	67.25847399	36.0535426362555	104.057786983549
1999	4	69.944661627	74.572873047516	147.927589462392
1999	5	83.376621955	118.936594265396	172.0761337142
1999	6	79.125657443	152.762972571137	168.848205760141
1999	7	46.7253547	179.098308066419	189.724575650298
1999	8	14.79599476	191.106124919533	198.401314614594
1999	9	10.75131689298	117.407285598824	146.163207527248
1999	10	31.548392	64.5635740766186	112.029166349444
1999	11	0	36.6476319982479	78.5467787681345
1999	12	9.20135823	12.5168604565599	56.9666548680762
2000	1	11.4750571	15.8255180161275	63.0828926915996
2000	2	18.23174941	30.1191517069333	83.7249871296923
2000	3	15.4678924856	50.779310438735	121.065848684586
2000	4	34.727050617	81.2103634893394	152.134473535661
2000	5	77.93367657	152.297023354263	193.031937767873
2000	6	208.56507588	151.298809411714	163.487991168714
2000	7	7.06767823	201.555327533432	206.949525875049
2000	8	0.0211869	190.659786734542	195.730763660379
2000	9	38.1451532	128.924459276506	159.454316474209
2000	10	136.9473391219	67.9381890880081	87.599164681785
2000	11	158.237525947	14.8083220184493	52.7434841988027
2000	12	15.21673421	4.27528023380582	42.4758979230853
2001	1	43.373496458	6.22723057048859	48.2593840262389
2001	2	46.626847119	16.0791373664906	66.3349193044743
2001	3	43.993164561	24.1988946329001	90.2588815302356
2001	4	35.75668453	78.0310173783379	141.862149951364
2001	5	75.0428464548	126.937425420862	180.083141778497
2001	6	3.609062827	175.677400072469	198.577329563944
2001	7	6.20819717	210.36769052094	209.300810650348
2001	8	77.430369	175.450558162825	180.168730086027
2001	9	117.1844960283	109.413660811131	137.574845767478
2001	10	22.238369	63.6483998785651	107.633038617995
2001	11	88.18544265	33.7348338134106	64.685875381328
2001	12	14.72761418	12.5142831385213	52.7843424883541
2002	1	17.996865794	12.8980056348543	60.1930622115728
2002	2	31.580093	10.3348973524607	66.8509365303816
2002	3	60.19382421	31.3872179231096	108.657165505477
2002	4	24.4605477	86.4817799344971	145.379984272366
2002	5	78.895312374	124.873814854755	181.951991328196
2002	6	28.7181831	163.942472171702	184.799915646789
2002	7	161.968461	167.035518230987	176.949773275401
2002	8	7.028589538	180.016413845422	183.439172195921
2002	9	49.88984681555	114.781853823691	143.91867481555
2002	10	159.44332605	54.8929496271222	82.9616135367991
2002	11	17.099792	19.0589776678756	61.299620153688
2002	12	39.729504611	10.511319557479	51.1331206073994
2003	1	12.3216971	8.9890009858826	55.8601532207597
2003	2	48.383547646	11.4325822730312	62.6944897573346
2003	3	19.9921793	38.3403947534365	112.916898495359
2003	4	30.1588256936	79.1407862794039	157.132283787645
